Date,Time,Tank,Position,PAR,Instrument,Measure_Type,Notes
20180925,8:57,10,3,101.1,LICOR-193,Six-point,Sunny/Clouds
20180925,8:57,10,4,101.9,LICOR-193,Six-point,Sunny/Clouds
20180925,8:57,10,5,114,LICOR-193,Six-point,Sunny/Clouds
20180925,8:57,10,6,111.4,LICOR-193,Six-point,Sunny/Clouds
20180925,8:54,11,1,116.5,LICOR-193,Six-point,Sunny/Clouds
20180925,8:54,11,2,133.8,LICOR-193,Six-point,Sunny/Clouds
20180925,8:54,11,3,122.7,LICOR-193,Six-point,Sunny/Clouds
20180925,8:54,11,4,116.5,LICOR-193,Six-point,Sunny/Clouds
20180925,8:54,11,5,138.8,LICOR-193,Six-point,Sunny/Clouds
20180925,8:54,11,6,183.7,LICOR-193,Six-point,Sunny/Clouds
20180925,8:51,12,1,285.3,LICOR-193,Six-point,Sunny/Clouds
20180925,8:51,12,2,306.5,LICOR-193,Six-point,Sunny/Clouds
20180925,8:51,12,3,396.6,LICOR-193,Six-point,Sunny/Clouds
20180925,8:51,12,4,286,LICOR-193,Six-point,Sunny/Clouds
20180925,8:51,12,5,258.3,LICOR-193,Six-point,Sunny/Clouds
20180925,8:51,12,6,393.5,LICOR-193,Six-point,Sunny/Clouds
20180925,12:06,1,1,435,LICOR-193,One-point,Sunny/Clouds
20180925,12:05,2,1,531,LICOR-193,One-point,Sunny/Clouds
20180925,12:04,3,1,538,LICOR-193,One-point,Sunny/Clouds
20180925,12:03,4,1,497,LICOR-193,One-point,Sunny/Clouds
20180925,12:03,5,1,532,LICOR-193,One-point,Sunny/Clouds
20180925,12:06,5,2,395,LICOR-193,One-point,Sunny/Clouds
20180925,12:02,6,1,398,LICOR-193,One-point,Sunny/Clouds
20180925,12:06,6,2,390,LICOR-193,One-point,Sunny/Clouds
20180925,12:05,7,1,517,LICOR-193,One-point,Sunny/Clouds
20180925,12:05,8,1,501,LICOR-193,One-point,Sunny/Clouds
20180925,12:04,9,1,507,LICOR-193,One-point,Sunny/Clouds
20180925,12:04,10,1,580,LICOR-193,One-point,Sunny/Clouds
20180925,12:01,11,1,134,LICOR-193,One-point,Cloudy
20180925,12:03,11,2,505,LICOR-193,One-point,Sunny 
20180925,12:01,12,1,135,LICOR-193,One-point,Cloudy
20180925,12:03,12,1,410,LICOR-193,One-point,Sunny 
20180925,14:08,1,1,329,LICOR-193,One-point,Sunny/Clouds
20180925,14:07,2,1,306,LICOR-193,One-point,Sunny/Clouds
20180925,14:07,3,1,241,LICOR-193,One-point,Sunny/Clouds
20180925,14:06,4,1,311,LICOR-193,One-point,Sunny/Clouds
20180925,14:05,5,1,276,LICOR-193,One-point,Sunny/Clouds
20180925,14:04,6,2,230,LICOR-193,One-point,Sunny/Clouds
20180925,14:08,7,1,350,LICOR-193,One-point,Sunny/Clouds
20180925,14:07,8,1,204,LICOR-193,One-point,Sunny/Clouds
20180925,14:06,9,1,202,LICOR-193,One-point,Sunny/Clouds
20180925,14:06,10,1,403,LICOR-193,One-point,Sunny/Clouds
20180925,14:05,11,1,353,LICOR-193,One-point,Sunny/Clouds
20180925,14:05,12,1,350,LICOR-193,One-point,Sunny/Clouds
20180926,9:09,1,1,30,LICOR-193,One-point,Sunny/Clouds
20180926,9:09,2,1,30,LICOR-193,One-point,Sunny/Clouds
20180926,9:10,3,1,33,LICOR-193,One-point,Sunny/Clouds
20180926,9:11,4,1,45,LICOR-193,One-point,Sunny/Clouds
20180926,9:11,5,1,52,LICOR-193,One-point,Sunny/Clouds
20180926,9:03,6,2,110,LICOR-193,One-point,Sunny/Clouds
20180926,9:08,7,1,50,LICOR-193,One-point,Sunny/Clouds
20180926,9:07,8,1,32,LICOR-193,One-point,Sunny/Clouds
