index,d__Eukaryota,d__Bacteria,Unassigned,d__Archaea,SampleName,PlotOrder,SiteName,SiteID,SitePoint,Species,TissueType,PlugID,Treatment,Temp,pH,Tank,Timepoint
HPW180,11498.0,402.0,409.0,0.0,2087,117.0,HIMB,P33,4,Pacuta,Hard,2087,HTHC,HT,HC,10,5
HPW181,10.0,17278.0,153.0,0.0,1706,118.0,Reef.11.13,M46,5,Mcapitata,Hard,1706,ATHC,AT,HC,11,5
HPW182,36868.0,488.0,314.0,0.0,1459,119.0,Reef.18,P10,1,Pacuta,Hard,1459,ATHC,AT,HC,3,8
HPW183,34237.0,952.0,249.0,0.0,1219,120.0,Reef.35.36,P42,5,Pacuta,Hard,1219,ATHC,AT,HC,3,3
HPW184,8786.0,3710.0,612.0,0.0,1254,121.0,Reef.42.43,P38,4,Pacuta,Hard,1254,ATHC,AT,HC,3,6
HPW185,30.0,28727.0,414.0,11.0,1496,122.0,Reef.35.36,M60,6,Mcapitata,Hard,1496,HTAC,HT,AC,7,6
HPW186,23.0,26171.0,186.0,0.0,1751,123.0,Reef.42.43,M25,3,Mcapitata,Hard,1751,HTAC,HT,AC,7,3
HPW187,22453.0,3516.0,305.0,0.0,2750,124.0,Reef.42.43,P56,6,Pacuta,Hard,2750,ATHC,AT,HC,12,3
HPW188,16.0,11487.0,84.0,0.0,1632,125.0,HIMB,M6,1,Mcapitata,Hard,1632,HTAC,HT,AC,7,12
HPW189,73.0,25776.0,217.0,0.0,1651,126.0,HIMB,M61,7,Mcapitata,Hard,1651,ATAC,AT,AC,8,4
HPW190,29743.0,1028.0,411.0,0.0,2527,127.0,Reef.18,P57,6,Pacuta,Hard,2527,HTHC,HT,HC,10,3
HPW191,31457.0,893.0,238.0,6.0,1676,128.0,Reef.42.43,P41,5,Pacuta,Hard,1676,HTHC,HT,HC,5,1
HPW192,26825.0,828.0,267.0,0.0,2873,129.0,HIMB,P7,1,Pacuta,Hard,2873,ATHC,AT,HC,11,9
HPW193,23.0,5302.0,103.0,4.0,1120,130.0,Reef.42.43,M14,2,Mcapitata,Hard,1120,ATAC,AT,AC,1,12
HPW194,9.0,6116.0,160.0,0.0,1148,131.0,Reef.42.43,M4,1,Mcapitata,Hard,1148,ATHC,AT,HC,3,9
HPW195,45.0,13357.0,156.0,70.0,2995,132.0,Reef.11.13,M73,8,Mcapitata,Hard,2995,ATHC,AT,HC,12,9
HPW196,14104.0,920.0,235.0,0.0,1542,133.0,Lilipuna.Fringe,P52,6,Pacuta,Hard,1542,ATAC,AT,AC,8,6
HPW201,48846.0,670.0,368.0,0.0,2202,134.0,HIMB,P28,3,Pacuta,Hard,2202,HTHC,HT,HC,10,9
HPW202,30732.0,1657.0,165.0,0.0,1207,135.0,Reef.11.13,P63,7,Pacuta,Hard,1207,ATHC,AT,HC,3,1
HPW203,20.0,21176.0,505.0,18.0,1289,136.0,Reef.35.36,M44,5,Mcapitata,Hard,1289,HTAC,HT,AC,4,3
HPW204,20308.0,388.0,284.0,4.0,1239,137.0,Reef.42.43,P12,2,Pacuta,Hard,1239,HTHC,HT,HC,2,1
HPW205,15770.0,1123.0,86.0,0.0,1696,138.0,Lilipuna.Fringe,P48,5,Pacuta,Hard,1696,HTAC,HT,AC,9,9
HPW206,28268.0,327.0,564.0,0.0,2414,139.0,Reef.18,P48,5,Pacuta,Hard,2414,HTAC,HT,AC,9,1
HPW207,0.0,16902.0,80.0,3.0,1580,140.0,Reef.35.36,M33,4,Mcapitata,Hard,1580,ATAC,AT,AC,8,9
HPW208,5.0,29604.0,177.0,0.0,2183,141.0,Reef.42.43,M37,4,Mcapitata,Hard,2183,HTAC,HT,AC,9,1
HPW209,34548.0,3046.0,264.0,0.0,1418,142.0,Lilipuna.Fringe,P62,7,Pacuta,Hard,1418,HTHC,HT,HC,5,3
HPW210,25906.0,230.0,1154.0,0.0,1220,143.0,Lilipuna.Fringe,P45,5,Pacuta,Hard,1220,ATHC,AT,HC,3,4
HPW211,26793.0,838.0,333.0,17.0,1762,144.0,Reef.42.43,P31,4,Pacuta,Hard,1762,ATAC,AT,AC,6,4
HPW212,13805.0,9950.0,331.0,0.0,1642,145.0,HIMB,P30,3,Pacuta,Hard,1642,HTAC,HT,AC,7,3
HPW213,41.0,25638.0,273.0,0.0,1420,146.0,Reef.35.36,M69,7,Mcapitata,Hard,1420,ATAC,AT,AC,6,9
HPW214,6.0,22540.0,326.0,0.0,1331,147.0,Reef.11.13,M27,3,Mcapitata,Hard,1331,HTHC,HT,HC,5,9
HPW215,0.0,27561.0,179.0,0.0,1600,148.0,Reef.42.43,M57,6,Mcapitata,Hard,1600,ATAC,AT,AC,6,1
HPW216,41754.0,1310.0,251.0,0.0,1227,149.0,Reef.42.43,P39,4,Pacuta,Hard,1227,HTHC,HT,HC,2,3
HPW217,0.0,36664.0,262.0,0.0,1101,150.0,HIMB,M38,4,Mcapitata,Hard,1101,ATAC,AT,AC,1,3
HPW218,33860.0,1057.0,198.0,0.0,1050,151.0,Reef.18,P59,6,Pacuta,Hard,1050,ATAC,AT,AC,1,6
HPW219,0.0,13488.0,194.0,0.0,2518,152.0,Reef.18,M18,2,Mcapitata,Hard,2518,HTHC,HT,HC,10,3
HPW220,22015.0,225.0,89.0,0.0,1138,153.0,HIMB,P8,1,Pacuta,Hard,1138,HTHC,HT,HC,2,6
HPW221,11.0,13672.0,172.0,0.0,1826,154.0,Reef.11.13,M4,1,Mcapitata,Hard,1826,ATHC,AT,HC,12,1
HPW222,11.0,15642.0,303.0,0.0,1609,155.0,HIMB,M30,3,Mcapitata,Hard,1609,ATAC,AT,AC,6,4
HPW223,25608.0,3362.0,203.0,0.0,1486,156.0,Reef.11.13,P49,5,Pacuta,Hard,1486,HTAC,HT,AC,7,9
HPW224,41.0,33425.0,153.0,68.0,2862,157.0,HIMB,M46,5,Mcapitata,Hard,2862,ATHC,AT,HC,11,9
HPW225,43838.0,973.0,454.0,0.0,2363,158.0,Reef.18,P73,8,Pacuta,Hard,2363,ATAC,AT,AC,6,1
HPW226,34066.0,1018.0,252.0,0.0,1744,159.0,Reef.35.36,P46,5,Pacuta,Hard,1744,HTAC,HT,AC,9,6
HPW227,22358.0,341.0,370.0,0.0,2733,160.0,Reef.42.43,P55,6,Pacuta,Hard,2733,ATHC,AT,HC,11,4
HPW228,36933.0,956.0,419.0,4.0,1471,161.0,Reef.35.36,P71,8,Pacuta,Hard,1471,ATAC,AT,AC,6,3
HPW229,38114.0,1371.0,526.0,0.0,1466,162.0,Lilipuna.Fringe,P27,3,Pacuta,Hard,1466,HTAC,HT,AC,7,6
HPW230,26.0,32082.0,233.0,0.0,2000,163.0,HIMB,M10,1,Mcapitata,Hard,2000,HTAC,HT,AC,9,4
HPW231,38.0,32868.0,596.0,0.0,1306,164.0,Lilipuna.Fringe,M15,2,Mcapitata,Hard,1306,HTAC,HT,AC,4,9
HPW232,46018.0,1134.0,249.0,0.0,1451,165.0,Reef.18,P22,3,Pacuta,Hard,1451,ATHC,AT,HC,3,9
HPW233,26.0,17872.0,193.0,33.0,2190,166.0,Reef.42.43,M31,4,Mcapitata,Hard,2190,HTHC,HT,HC,10,12
HPW234,38226.0,1406.0,224.0,0.0,2977,167.0,Reef.11.13,P22,3,Pacuta,Hard,2977,ATHC,AT,HC,11,1
HPW235,33207.0,1822.0,186.0,0.0,2993,168.0,Reef.11.13,P56,6,Pacuta,Hard,2993,ATHC,AT,HC,12,4
HPW236,11.0,13576.0,168.0,0.0,2153,169.0,Reef.18,M4,1,Mcapitata,Hard,2153,HTAC,HT,AC,4,1
HPW237,34714.0,2951.0,372.0,0.0,1775,170.0,Reef.42.43,P14,2,Pacuta,Hard,1775,ATAC,AT,AC,8,1
HPW238,8.0,28764.0,875.0,4.0,1628,171.0,HIMB,M62,7,Mcapitata,Hard,1628,ATAC,AT,AC,6,3
HPW239,6.0,19979.0,360.0,0.0,1652,172.0,HIMB,M14,2,Mcapitata,Hard,1652,ATAC,AT,AC,8,1
HPW240,19.0,30696.0,131.0,0.0,2204,173.0,Reef.42.43,M66,7,Mcapitata,Hard,2204,HTHC,HT,HC,10,4
HPW241,0.0,29116.0,269.0,4.0,2561,174.0,Reef.18,M60,6,Mcapitata,Hard,2561,ATHC,AT,HC,12,4
HPW242,34750.0,950.0,169.0,0.0,2979,175.0,Reef.35.36,P35,4,Pacuta,Hard,2979,ATHC,AT,HC,12,9
HPW243,15.0,12318.0,146.0,0.0,2009,176.0,Lilipuna.Fringe,M37,4,Mcapitata,Hard,2009,HTHC,HT,HC,10,9
HPW244,23856.0,574.0,231.0,0.0,1701,177.0,Reef.18,P45,5,Pacuta,Hard,1701,HTAC,HT,AC,4,4
HPW245,28672.0,1527.0,290.0,0.0,1767,178.0,Reef.42.43,P43,5,Pacuta,Hard,1767,HTAC,HT,AC,7,4
HPW246,30.0,21839.0,757.0,0.0,2007,179.0,Reef.42.43,M65,7,Mcapitata,Hard,2007,HTAC,HT,AC,9,12
HPW247,5.0,19902.0,287.0,0.0,2534,180.0,Reef.18,P1,1,Pacuta,Hard,2534,ATHC,AT,HC,11,3
HPW248,33155.0,824.0,161.0,0.0,1588,181.0,Reef.18,M35,4,Mcapitata,Hard,1588,HTAC,HT,AC,4,6
HPW249,44002.0,1210.0,301.0,0.0,2999,182.0,Lilipuna.Fringe,P26,3,Pacuta,Hard,2999,ATHC,AT,HC,12,6
HPW250,147.0,28330.0,534.0,0.0,1611,183.0,Reef.42.43,M6,1,Mcapitata,Hard,1611,ATAC,AT,AC,6,6
HPW251,38372.0,2455.0,235.0,6.0,2026,184.0,Reef.42.43,P64,7,Pacuta,Hard,2026,HTAC,HT,AC,9,3
